07.06.2017 16:57:57 | Login : userid = 3
07.06.2017 17:01:52 | Logout : userid = 3
07.06.2017 17:01:59 | Login : userid = 3
07.06.2017 23:47:08 | Logout : userid = 3
07.06.2017 23:47:14 | Login : userid = 3
08.06.2017 08:35:03 | Login : userid = 2
08.06.2017 12:44:45 | Login : userid = 2
12.06.2017 17:11:29 | Logout : userid = 2
12.06.2017 17:12:09 | Login : userid = 2
12.06.2017 17:20:41 | Login : userid = 3
12.06.2017 19:18:34 | Login : userid = 3
13.06.2017 12:23:10 | Logout : userid = 2
13.06.2017 12:23:15 | Login : userid = 1
13.06.2017 14:19:52 | Login : userid = 2
14.06.2017 13:04:24 | Login : userid = 1
14.06.2017 19:43:08 | Login : userid = 3
21.06.2017 12:28:53 | Login : userid = 1
06.07.2017 12:22:07 | Login : userid = 1
18.08.2017 14:29:49 | Logout : userid = 11
18.08.2017 14:30:04 | Login : userid = 1
